# lane: machine
nn	unit	first	last	sure
NN03	5	21	23	y
NN03	31	73	73	y
NN03	33	73	76	y
NN03	52	98	98	y
NN03	54	103	103	y
NN03	56	119	119	n
NN03	65	269	272	y
NN03	68	280	286	y
NN03	70	289	297	y
NN03	75	314	314	n
NN03	78	318	318	y
NN03	109	633	643	n
NN03	111	648	650	y
NN03	125	706	712	y
NN03	129	720	725	y
NN03	132	734	736	y
NN03	135	757	759	y
NN03	136	770	778	y
NN03	159	911	911	y
NN03	164	none	none	n
NN04	3	27	27	n
NN04	6	36	36	y
NN04	12	39	40	y
NN04	13	138	139	y
NN04	14	139	142	y
NN04	26	86	86	y
NN04	31	134	134	y
NN04	35	166	186	n
NN04	37	172	179	y
NN04	38	180	181	y
NN04	39	180	180	y
NN04	50	277	282	y
NN04	54	none	none	y
NN04	55	314	314	n
NN04	56	315	319	y
NN04	83	734	741	y
NN04	85	770	778	y
NN04	88	829	833	n
NN04	90	850	852	y
NN04	92	none	none	y
NN06	6	61	63	n
NN06	12	81	85	y
NN06	29	109	133	y
NN06	32	314	333	n
NN06	36	409	412	n
NN06	37	413	415	y
NN06	49	none	none	n
NN06	60	262	262	n
NN06	63	670	674	n
NN06	64	671	680	n
NN06	71	805	820	y
NN06	72	824	825	y
NN06	75	825	826	y
NN06	80	872	884	n
NN06	82	899	904	y
NN06	92	914	916	y
NN06	96	979	980	y
NN06	97	979	980	n
NN06	102	1000	1000	n
NN06	103	999	1000	y
NN07	3	39	39	y
NN07	11	196	196	y
NN07	13	202	238	n
NN07	14	240	244	y
NN07	24	none	none	y
NN07	33	272	286	y
NN07	35	318	318	y
NN07	36	319	319	y
NN07	43	none	none	y
NN07	46	445	453	n
NN07	51	472	472	n
NN07	63	609	609	y
NN07	64	609	609	y
NN07	65	610	610	y
NN07	67	611	612	y
NN07	69	610	610	y
NN07	72	none	none	n
NN07	87	697	718	y
NN07	93	899	909	n
NN07	95	999	999	y
NN08	6	60	62	n
NN08	27	153	153	y
NN08	31	240	244	n
NN08	42	314	318	n
NN08	57	360	370	y
NN08	58	373	375	y
NN08	73	445	445	y
NN08	76	457	464	y
NN08	91	547	549	y
NN08	96	549	550	y
NN08	123	696	713	y
NN08	135	826	826	y
NN08	136	831	831	y
NN08	138	814	815	y
NN08	146	841	844	y
NN08	158	911	911	y
NN08	161	914	922	y
NN08	167	977	980	y
NN08	169	none	none	y
NN08	177	999	999	n
NN11	9	39	40	y
NN11	12	152	153	y
NN11	16	none	none	y
NN11	17	171	177	y
NN11	18	172	175	y
NN11	19	178	184	y
NN11	30	259	261	y
NN11	45	none	none	y
NN11	62	507	516	y
NN11	63	519	522	y
NN11	73	none	none	y
NN11	85	677	680	y
NN11	96	723	733	y
NN11	100	734	736	y
NN11	108	819	820	y
NN11	112	826	826	y
NN11	122	873	893	y
NN11	123	none	none	n
NN11	126	935	937	n
NN11	135	963	963	n
NN13	21	37	37	y
NN13	26	38	39	y
NN13	36	58	58	y
NN13	75	134	134	y
NN13	113	240	240	y
NN13	131	281	281	y
NN13	142	317	319	y
NN13	172	404	405	y
NN13	188	445	448	y
NN13	196	445	482	n
NN13	199	472	472	y
NN13	205	490	504	n
NN13	217	none	none	y
NN13	244	639	648	y
NN13	261	730	731	y
NN13	273	none	none	y
NN13	277	none	none	y
NN13	291	none	none	y
NN13	298	846	853	n
NN13	320	954	954	y
NN15	0	64	68	y
NN15	1	98	137	n
NN15	3	98	135	n
NN15	5	109	116	y
NN15	7	118	134	n
NN15	8	104	104	n
NN15	11	104	104	n
NN15	14	167	169	y
NN15	19	185	185	y
NN15	22	238	244	y
NN15	30	none	none	y
NN15	31	315	333	y
NN15	37	445	460	n
NN15	53	617	631	y
NN15	60	673	673	y
NN15	61	677	680	y
NN15	72	755	759	y
NN15	79	830	831	y
NN15	82	863	863	y
NN15	86	none	none	n
NN16	6	42	43	y
NN16	11	109	133	y
NN16	12	81	86	y
NN16	25	203	250	n
NN16	43	387	423	n
NN16	44	387	423	y
NN16	53	633	634	y
NN16	54	637	639	y
NN16	57	650	657	y
NN16	59	659	664	y
NN16	60	667	668	y
NN16	67	704	718	y
NN16	69	786	790	y
NN16	70	802	802	y
NN16	71	802	802	y
NN16	78	849	857	y
NN16	84	980	980	n
NN16	85	982	993	y
NN16	86	995	995	n
NN16	88	999	999	y
NN17	4	none	none	n
NN17	47	81	85	y
NN17	63	119	119	n
NN17	80	167	168	y
NN17	81	169	169	y
NN17	134	426	432	y
NN17	136	445	461	n
NN17	151	498	502	y
NN17	154	505	508	y
NN17	180	629	631	n
NN17	193	633	634	y
NN17	199	none	none	n
NN17	244	723	725	y
NN17	251	734	734	y
NN17	265	788	788	y
NN17	282	828	831	y
NN17	287	837	839	n
NN17	311	none	none	y
NN17	324	954	954	y
NN17	348	999	1000	n
